Strain_ID,ReceiverDegree,SenderDegree
KT2442,7,25
E5,4,28
BM-7,6,2
BM-12,12,6
BM-25,8,8
R23,12,3
RP-A1,2,8
RP-5C,21,2
G12,9,8
SH-9,8,12
Z16,13,10
E11,14,20
RCH25,22,27
E15,17,5
BM-23,14,8
E4,18,5
RP-E3,12,2
Z2 (RP-7B),8,4
RDH25,6,11
SCH24,10,20
E12,6,12
BM-13,7,8
BM-1,9,6
SCH4,11,10
BM-4,19,7
RDH6,8,29
RCH-20.P,12,28
BM-16,11,19
RP-5H,7,4
BM-9,10,3
SCH11,12,2
B11,13,6
