Strain_ID,Pseudomonas_putida_KT2442,Pedobacter_R06,Pseudomonas_E05,Acidovorax_R28,Ralstonia_R29,Luteibacter_E22,Lysobacter_E23,Stenotrophomonas_R24,Dyella_R26,Massilia_R31,Enterobacter_R25,Variovorax_R27,Massilia_S14,Burkholderia_R30,Ensifer_E15,Ensifer_R19,Agrobacterium_E04,Methylobacterium_R20,Sphingobium_R21,Exiguobacterium_R17,Bacillus_S18,Paenibacillus_E12,Nocardioides_E09,Cellulosimicrobium_E16,Micrococcus_S10,Microbacterium_E13,Arthrobacter_R11,Streptomyces_R07,Streptomyces_E08,Hymenobacter_R03,Dyadobacter_E01,Chryseobacterium_S02,,,
Pseudomonas_putida_KT2442,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,
Pedobacter_R06,0,0,0,0,0,0,0,0,0,0,-2,0,0,-3,0,0,0,0,0,0,-5,0,0,-2,0,0,-3,-3,0,0,0,-2,,,
Pseudomonas_E05,0,0,-2,0,0,0,0,0,0,2,0,0,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,,,
Acidovorax_R28,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,-3,0,0,0,0,0,,,
Ralstonia_R29,-2,-6,0,0,0,0,0,0,0,2,0,5,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,,,
Luteibacter_E22,0,-4,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-3,0,0,0,0,0,,,
Lysobacter_E23,-4,0,-5,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,-5,-2,0,0,0,0,-2,0,0,0,-3,0,,,
Stenotrophomonas_R24,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dyella_R26,-5,0,0,0,0,0,0,-2,0,-4,0,0,-2,-8,0,0,0,0,-2,0,-2,0,0,0,0,0,-2,-2,0,0,0,-2,,,
Massilia_R31,0,0,0,0,-2,-2,0,-7,0,0,0,0,0,0,0,0,0,0,0,-8,0,-2,0,0,0,0,-2,-2,0,0,0,-2,,,
