,Strain_ID,name,value MRS,,,,Strain.ID,name,value HB,,,value MRS,value HB
209,Streptomyces_RCH20P,Streptomyces_RCH20P,0,,,209,Streptomyces_RCH20P,Streptomyces_RCH20P,0,,,0,0
210,Streptomyces_RCH20P,Variovax_RPC5,0,,,210,Streptomyces_RCH20P,Variovax_RPC5,0,,,0,0
211,Variovax_RPC5,Bacillus_SCH24,-2,,,211,Variovax_RPC5,Bacillus_SCH24,-6,,,-2,-6
212,Variovax_RPC5,Burkholderia_RCH25,-1,,,212,Variovax_RPC5,Burkholderia_RCH25,-3,,,-1,-3
213,Variovax_RPC5,Cellulosimicrobium_BM1,0,,,213,Variovax_RPC5,Cellulosimicrobium_BM1,0,,,0,0
214,Variovax_RPC5,Chryseobacterium_SCH11,0,,,214,Variovax_RPC5,Chryseobacterium_SCH11,0,,,0,0
215,Variovax_RPC5,Dyadobacter_BM9,2,,,215,Variovax_RPC5,Dyadobacter_BM9,0,,,2,0
216,Variovax_RPC5,Ensifer_BM17,0,,,216,Variovax_RPC5,Ensifer_sp,0,,,0,0
217,Variovax_RPC5,Exiguobacterium_RDH25,0,,,217,Variovax_RPC5,Exiguobacterium_RDH25,0,,,0,0
218,Variovax_RPC5,Luteibacter_BM7,1,,,218,Variovax_RPC5,Luteibacter_BM7,0,,,1,0
219,Variovax_RPC5,Methylobacterium_RPE3,0,,,219,Variovax_RPC5,Methylobacterium_RPE3,0,,,0,0
220,Variovax_RPC5,Microbacterium_BM4,0,,,220,Variovax_RPC5,Microbacterium_BM4,0,,,0,0
221,Variovax_RPC5,Paenibacillus_E12,-1,,,221,Variovax_RPC5,Paenibacillus_E12,-1,,,-1,-1
222,Variovax_RPC5,Pseudomonas_putida_KT2442,0,,,222,Variovax_RPC5,Pseudomonas_putida_KT2442,0,,,0,0
223,Variovax_RPC5,Sphingobium_Z2,0,,,223,Variovax_RPC5,Sphingobium_Z2,0,,,0,0
224,Variovax_RPC5,Streptomyces_RCH20P,0,,,224,Variovax_RPC5,Streptomyces_RCH20P,NA,,,0,NA
225,Variovax_RPC5,Variovax_RPC5,0,,,225,Variovax_RPC5,Variovax_RPC5,0,,,0,0
