"","Strain_ID","name","value","Spot","MediaTime","Lawn","Media","Fe","Time","Dataset"
"122","Bacillus_SCH24","Luteibacter_BM7",0,"Luteibacter_BM7","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"123","Bacillus_SCH24","Variovax_RPC5",0,"Variovax_RPC5","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"124","Bacillus_SCH24","Burkholderia_RCH25",-2,"Burkholderia_RCH25","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"125","Bacillus_SCH24","Ensifer_sp",-2,"Ensifer_sp","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"126","Bacillus_SCH24","Methylobacterium_RPE3",0,"Methylobacterium_RPE3","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"127","Bacillus_SCH24","Sphingobium_Z2",0,"Sphingobium_Z2","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"128","Bacillus_SCH24","Exiguobacterium_RDH25",2,"Exiguobacterium_RDH25","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"129","Bacillus_SCH24","Bacillus_SCH24",0,"Bacillus_SCH24","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"130","Bacillus_SCH24","Paenibacillus_E12",-1,"Paenibacillus_E12","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"131","Bacillus_SCH24","Cellulosimicrobium_BM1",0,"Cellulosimicrobium_BM1","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"132","Bacillus_SCH24","Microbacterium_BM4",0,"Microbacterium_BM4","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"133","Bacillus_SCH24","Streptomyces_RCH20P",-8,"Streptomyces_RCH20P","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"134","Bacillus_SCH24","Dyadobacter_BM9",-1,"Dyadobacter_BM9","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"135","Bacillus_SCH24","Chryseobacterium_SCH11",-1,"Chryseobacterium_SCH11","1/2 TSA, 48h","Bacillus_SCH24","1/2 TSA","- FeCl3","48h","Hannah"
"136","Paenibacillus_E12","Pseudomonas_putida_KT2442",0,"Pseudomonas_putida_KT2442","1/2 TSA, 48h","Paenibacillus_E12","1/2 TSA","- FeCl3","48h","Hannah"
"137","Paenibacillus_E12","Luteibacter_BM7",0,"Luteibacter_BM7","1/2 TSA, 48h","Paenibacillus_E12","1/2 TSA","- FeCl3","48h","Hannah"
"138","Paenibacillus_E12","Variovax_RPC5",0,"Variovax_RPC5","1/2 TSA, 48h","Paenibacillus_E12","1/2 TSA","- FeCl3","48h","Hannah"
"139","Paenibacillus_E12","Burkholderia_RCH25",-1,"Burkholderia_RCH25","1/2 TSA, 48h","Paenibacillus_E12","1/2 TSA","- FeCl3","48h","Hannah"
"140","Paenibacillus_E12","Ensifer_sp",0,"Ensifer_sp","1/2 TSA, 48h","Paenibacillus_E12","1/2 TSA","- FeCl3","48h","Hannah"
"141","Paenibacillus_E12","Methylobacterium_RPE3",0,"Methylobacterium_RPE3","1/2 TSA, 48h","Paenibacillus_E12","1/2 TSA","- FeCl3","48h","Hannah"
"142","Paenibacillus_E12","Sphingobium_Z2",0,"Sphingobium_Z2","1/2 TSA, 48h","Paenibacillus_E12","1/2 TSA","- FeCl3","48h","Hannah"
"143","Paenibacillus_E12","Exiguobacterium_RDH25",0,"Exiguobacterium_RDH25","1/2 TSA, 48h","Paenibacillus_E12","1/2 TSA","- FeCl3","48h","Hannah"
