,Strain_ID,name,value HB
109,Exiguobacterium_R17,Burkholderia_R30,0
116,Exiguobacterium_R17,Cellulosimicrobium_E16,0
120,Exiguobacterium_R17,Chryseobacterium_S02,0
119,Exiguobacterium_R17,Dyadobacter_E01,0
110,Exiguobacterium_R17,Ensifer_E15,0
113,Exiguobacterium_R17,Exiguobacterium_R17,0
107,Exiguobacterium_R17,Luteibacter_E22,0
111,Exiguobacterium_R17,Methylobacterium_R20,0
117,Exiguobacterium_R17,Microbacterium_E13,0
115,Exiguobacterium_R17,Paenibacillus_E12,0
106,Exiguobacterium_R17,Pseudomonas_putida_KT2442,0
112,Exiguobacterium_R17,Sphingobium_R21,0
118,Exiguobacterium_R17,Streptomyces_R07,0
108,Exiguobacterium_R17,Variovorax_R27,0
24,Luteibacter_E22,Bacillus_S18,0
19,Luteibacter_E22,Burkholderia_R30,-2
26,Luteibacter_E22,Cellulosimicrobium_E16,0
30,Luteibacter_E22,Chryseobacterium_S02,-1
29,Luteibacter_E22,Dyadobacter_E01,0
20,Luteibacter_E22,Ensifer_E15,0
23,Luteibacter_E22,Exiguobacterium_R17,0
17,Luteibacter_E22,Luteibacter_E22,0
21,Luteibacter_E22,Methylobacterium_R20,0
27,Luteibacter_E22,Microbacterium_E13,0
25,Luteibacter_E22,Paenibacillus_E12,-1
16,Luteibacter_E22,Pseudomonas_putida_KT2442,-1
22,Luteibacter_E22,Sphingobium_R21,0
28,Luteibacter_E22,Streptomyces_R07,0
18,Luteibacter_E22,Variovorax_R27,1
84,Methylobacterium_R20,Bacillus_S18,-10
79,Methylobacterium_R20,Burkholderia_R30,-4
86,Methylobacterium_R20,Cellulosimicrobium_E16,0
90,Methylobacterium_R20,Chryseobacterium_S02,0
89,Methylobacterium_R20,Dyadobacter_E01,0
80,Methylobacterium_R20,Ensifer_E15,0
83,Methylobacterium_R20,Exiguobacterium_R17,0
77,Methylobacterium_R20,Luteibacter_E22,0
81,Methylobacterium_R20,Methylobacterium_R20,0
87,Methylobacterium_R20,Microbacterium_E13,0
85,Methylobacterium_R20,Paenibacillus_E12,0
76,Methylobacterium_R20,Pseudomonas_putida_KT2442,0
82,Methylobacterium_R20,Sphingobium_R21,0
88,Methylobacterium_R20,Streptomyces_R07,-1
78,Methylobacterium_R20,Variovorax_R27,-2
174,Microbacterium_E13,Bacillus_S18,-4
169,Microbacterium_E13,Burkholderia_R30,-2
176,Microbacterium_E13,Cellulosimicrobium_E16,0
180,Microbacterium_E13,Chryseobacterium_S02,-1
179,Microbacterium_E13,Dyadobacter_E01,0
170,Microbacterium_E13,Ensifer_E15,-2
173,Microbacterium_E13,Exiguobacterium_R17,0
167,Microbacterium_E13,Luteibacter_E22,0
171,Microbacterium_E13,Methylobacterium_R20,0
177,Microbacterium_E13,Microbacterium_E13,0
175,Microbacterium_E13,Paenibacillus_E12,0
166,Microbacterium_E13,Pseudomonas_putida_KT2442,0
172,Microbacterium_E13,Sphingobium_R21,0
178,Microbacterium_E13,Streptomyces_R07,-5
168,Microbacterium_E13,Variovorax_R27,0
144,Paenibacillus_E12,Bacillus_S18,-2
139,Paenibacillus_E12,Burkholderia_R30,-1
146,Paenibacillus_E12,Cellulosimicrobium_E16,0
150,Paenibacillus_E12,Chryseobacterium_S02,-1
149,Paenibacillus_E12,Dyadobacter_E01,0
140,Paenibacillus_E12,Ensifer_E15,0
143,Paenibacillus_E12,Exiguobacterium_R17,0
137,Paenibacillus_E12,Luteibacter_E22,0
141,Paenibacillus_E12,Methylobacterium_R20,0
147,Paenibacillus_E12,Microbacterium_E13,0
145,Paenibacillus_E12,Paenibacillus_E12,-1
136,Paenibacillus_E12,Pseudomonas_putida_KT2442,0
142,Paenibacillus_E12,Sphingobium_R21,0
148,Paenibacillus_E12,Streptomyces_R07,-3
138,Paenibacillus_E12,Variovorax_R27,0
9,Pseudomonas_putida_KT2442,Bacillus_S18,0
4,Pseudomonas_putida_KT2442,Burkholderia_R30,0
11,Pseudomonas_putida_KT2442,Cellulosimicrobium_E16,0
15,Pseudomonas_putida_KT2442,Chryseobacterium_S02,0
14,Pseudomonas_putida_KT2442,Dyadobacter_E01,0
5,Pseudomonas_putida_KT2442,Ensifer_E15,0
8,Pseudomonas_putida_KT2442,Exiguobacterium_R17,0
2,Pseudomonas_putida_KT2442,Luteibacter_E22,1
6,Pseudomonas_putida_KT2442,Methylobacterium_R20,0
12,Pseudomonas_putida_KT2442,Microbacterium_E13,0
10,Pseudomonas_putida_KT2442,Paenibacillus_E12,0
1,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,0
7,Pseudomonas_putida_KT2442,Sphingobium_R21,0
13,Pseudomonas_putida_KT2442,Streptomyces_R07,0
3,Pseudomonas_putida_KT2442,Variovorax_R27,-1
99,Sphingobium_R21,Bacillus_S18,-5
94,Sphingobium_R21,Burkholderia_R30,-2
101,Sphingobium_R21,Cellulosimicrobium_E16,0
105,Sphingobium_R21,Chryseobacterium_S02,0
104,Sphingobium_R21,Dyadobacter_E01,0
95,Sphingobium_R21,Ensifer_E15,-2
98,Sphingobium_R21,Exiguobacterium_R17,0
92,Sphingobium_R21,Luteibacter_E22,0
96,Sphingobium_R21,Methylobacterium_R20,0
102,Sphingobium_R21,Microbacterium_E13,0
100,Sphingobium_R21,Paenibacillus_E12,-2
91,Sphingobium_R21,Pseudomonas_putida_KT2442,0
97,Sphingobium_R21,Sphingobium_R21,0
103,Sphingobium_R21,Streptomyces_R07,0
93,Sphingobium_R21,Variovorax_R27,0
189,Streptomyces_R07,Bacillus_S18,-3
184,Streptomyces_R07,Burkholderia_R30,-4
191,Streptomyces_R07,Cellulosimicrobium_E16,0
195,Streptomyces_R07,Chryseobacterium_S02,0
194,Streptomyces_R07,Dyadobacter_E01,0
185,Streptomyces_R07,Ensifer_E15,1
188,Streptomyces_R07,Exiguobacterium_R17,0
182,Streptomyces_R07,Luteibacter_E22,0
186,Streptomyces_R07,Methylobacterium_R20,0
192,Streptomyces_R07,Microbacterium_E13,0
190,Streptomyces_R07,Paenibacillus_E12,0
181,Streptomyces_R07,Pseudomonas_putida_KT2442,0
187,Streptomyces_R07,Sphingobium_R21,0
193,Streptomyces_R07,Streptomyces_R07,0
183,Streptomyces_R07,Variovorax_R27,0
39,Variovorax_R27,Bacillus_S18,-1
34,Variovorax_R27,Burkholderia_R30,-2
41,Variovorax_R27,Cellulosimicrobium_E16,0
45,Variovorax_R27,Chryseobacterium_S02,0
44,Variovorax_R27,Dyadobacter_E01,0
35,Variovorax_R27,Ensifer_E15,0
38,Variovorax_R27,Exiguobacterium_R17,0
32,Variovorax_R27,Luteibacter_E22,0
36,Variovorax_R27,Methylobacterium_R20,0
42,Variovorax_R27,Microbacterium_E13,0
40,Variovorax_R27,Paenibacillus_E12,-1
31,Variovorax_R27,Pseudomonas_putida_KT2442,0
37,Variovorax_R27,Sphingobium_R21,0
43,Variovorax_R27,Streptomyces_R07,0
33,Variovorax_R27,Variovorax_R27,0
