"","Strain_ID","name","value"
"119","Exiguobacterium_R17","Dyadobacter_E01",0
"120","Exiguobacterium_R17","Chryseobacterium_S02",0
"121","Bacillus_S18","Pseudomonas_putida_KT2442",0
"122","Bacillus_S18","Luteibacter_E22",0
"123","Bacillus_S18","Variovorax_R27",0
"124","Bacillus_S18","Burkholderia_R30",1
"125","Bacillus_S18","Ensifer_E15",0
"126","Bacillus_S18","Methylobacterium_R20",0
"127","Bacillus_S18","Sphingobium_R21",0
"128","Bacillus_S18","Exiguobacterium_R17",0
"129","Bacillus_S18","Bacillus_S18",0
"130","Bacillus_S18","Paenibacillus_E12",0
"131","Bacillus_S18","Cellulosimicrobium_E16",0
"132","Bacillus_S18","Microbacterium_E13",0
"133","Bacillus_S18","Streptomyces_R07",-4
"134","Bacillus_S18","Dyadobacter_E01",0
"135","Bacillus_S18","Chryseobacterium_S02",-1
"136","Paenibacillus_E12","Pseudomonas_putida_KT2442",0
"137","Paenibacillus_E12","Luteibacter_E22",0
"138","Paenibacillus_E12","Variovorax_R27",0
"139","Paenibacillus_E12","Burkholderia_R30",-1
"140","Paenibacillus_E12","Ensifer_E15",0
"141","Paenibacillus_E12","Methylobacterium_R20",0
"142","Paenibacillus_E12","Sphingobium_R21",0
"143","Paenibacillus_E12","Exiguobacterium_R17",0
"144","Paenibacillus_E12","Bacillus_S18",-2
"145","Paenibacillus_E12","Paenibacillus_E12",-1
"146","Paenibacillus_E12","Cellulosimicrobium_E16",0
"147","Paenibacillus_E12","Microbacterium_E13",0
"148","Paenibacillus_E12","Streptomyces_R07",-4
"149","Paenibacillus_E12","Dyadobacter_E01",0
"150","Paenibacillus_E12","Chryseobacterium_S02",-2
"151","Cellulosimicrobium_E16","Pseudomonas_putida_KT2442",0
"152","Cellulosimicrobium_E16","Luteibacter_E22",0
"153","Cellulosimicrobium_E16","Variovorax_R27",0
"154","Cellulosimicrobium_E16","Burkholderia_R30",-1
"155","Cellulosimicrobium_E16","Ensifer_E15",0
"156","Cellulosimicrobium_E16","Methylobacterium_R20",0
"157","Cellulosimicrobium_E16","Sphingobium_R21",0
"158","Cellulosimicrobium_E16","Exiguobacterium_R17",0
"159","Cellulosimicrobium_E16","Bacillus_S18",-4
"160","Cellulosimicrobium_E16","Paenibacillus_E12",-1
"161","Cellulosimicrobium_E16","Cellulosimicrobium_E16",0
"162","Cellulosimicrobium_E16","Microbacterium_E13",0
"163","Cellulosimicrobium_E16","Streptomyces_R07",-2
"164","Cellulosimicrobium_E16","Dyadobacter_E01",0
"165","Cellulosimicrobium_E16","Chryseobacterium_S02",0
"166","Microbacterium_E13","Pseudomonas_putida_KT2442",0
"167","Microbacterium_E13","Luteibacter_E22",0
"168","Microbacterium_E13","Variovorax_R27",0
"169","Microbacterium_E13","Burkholderia_R30",-2
"170","Microbacterium_E13","Ensifer_E15",-2
"171","Microbacterium_E13","Methylobacterium_R20",0
"172","Microbacterium_E13","Sphingobium_R21",0
"173","Microbacterium_E13","Exiguobacterium_R17",0
"174","Microbacterium_E13","Bacillus_S18",-5
"175","Microbacterium_E13","Paenibacillus_E12",0
"176","Microbacterium_E13","Cellulosimicrobium_E16",0
"177","Microbacterium_E13","Microbacterium_E13",0
"178","Microbacterium_E13","Streptomyces_R07",-4
"179","Microbacterium_E13","Dyadobacter_E01",0
"180","Microbacterium_E13","Chryseobacterium_S02",-2
"181","Streptomyces_R07","Pseudomonas_putida_KT2442",-2
"182","Streptomyces_R07","Luteibacter_E22",0
"183","Streptomyces_R07","Variovorax_R27",0
"184","Streptomyces_R07","Burkholderia_R30",-4
"185","Streptomyces_R07","Ensifer_E15",0
"186","Streptomyces_R07","Methylobacterium_R20",0
"187","Streptomyces_R07","Sphingobium_R21",0
"188","Streptomyces_R07","Exiguobacterium_R17",0
"189","Streptomyces_R07","Bacillus_S18",-2
"190","Streptomyces_R07","Paenibacillus_E12",0
"191","Streptomyces_R07","Cellulosimicrobium_E16",0
"192","Streptomyces_R07","Microbacterium_E13",0
"193","Streptomyces_R07","Streptomyces_R07",0
"194","Streptomyces_R07","Dyadobacter_E01",0
"195","Streptomyces_R07","Chryseobacterium_S02",0
"196","Dyadobacter_E01","Pseudomonas_putida_KT2442",0
"197","Dyadobacter_E01","Luteibacter_E22",0
"198","Dyadobacter_E01","Variovorax_R27",0
"199","Dyadobacter_E01","Burkholderia_R30",-1
"200","Dyadobacter_E01","Ensifer_E15",0
"201","Dyadobacter_E01","Methylobacterium_R20",0
"202","Dyadobacter_E01","Sphingobium_R21",0
"203","Dyadobacter_E01","Exiguobacterium_R17",0
"204","Dyadobacter_E01","Bacillus_S18",-2
"205","Dyadobacter_E01","Paenibacillus_E12",-2
"206","Dyadobacter_E01","Cellulosimicrobium_E16",0
"207","Dyadobacter_E01","Microbacterium_E13",0
"208","Dyadobacter_E01","Streptomyces_R07",-2
"209","Dyadobacter_E01","Dyadobacter_E01",0
"210","Dyadobacter_E01","Chryseobacterium_S02",0
"211","Chryseobacterium_S02","Pseudomonas_putida_KT2442",0
"212","Chryseobacterium_S02","Luteibacter_E22",0
"213","Chryseobacterium_S02","Variovorax_R27",0
"214","Chryseobacterium_S02","Burkholderia_R30",0
"215","Chryseobacterium_S02","Ensifer_E15",0
"216","Chryseobacterium_S02","Methylobacterium_R20",0
"217","Chryseobacterium_S02","Sphingobium_R21",0
"218","Chryseobacterium_S02","Exiguobacterium_R17",0
"219","Chryseobacterium_S02","Bacillus_S18",-2
"220","Chryseobacterium_S02","Paenibacillus_E12",0
"221","Chryseobacterium_S02","Cellulosimicrobium_E16",0
"222","Chryseobacterium_S02","Microbacterium_E13",0
"223","Chryseobacterium_S02","Streptomyces_R07",0
"224","Chryseobacterium_S02","Dyadobacter_E01",0
"225","Chryseobacterium_S02","Chryseobacterium_S02",0
"226","","Pseudomonas_putida_KT2442",NA
"227","","Luteibacter_E22",NA
"228","","Variovorax_R27",NA
"229","","Burkholderia_R30",NA
"230","","Ensifer_E15",NA
"231","","Methylobacterium_R20",NA
"232","","Sphingobium_R21",NA
"233","","Exiguobacterium_R17",NA
"234","","Bacillus_S18",NA
"235","","Paenibacillus_E12",NA
"236","","Cellulosimicrobium_E16",NA
"237","","Microbacterium_E13",NA
"238","","Streptomyces_R07",NA
"239","","Dyadobacter_E01",NA
"240","","Chryseobacterium_S02",NA
"241","","Pseudomonas_putida_KT2442",NA
"242","","Luteibacter_E22",NA
"243","","Variovorax_R27",NA
"244","","Burkholderia_R30",NA
"245","","Ensifer_E15",NA
"246","","Methylobacterium_R20",NA
"247","","Sphingobium_R21",NA
"248","","Exiguobacterium_R17",NA
"249","","Bacillus_S18",NA
"250","","Paenibacillus_E12",NA
"251","","Cellulosimicrobium_E16",NA
"252","","Microbacterium_E13",NA
"253","","Streptomyces_R07",NA
"254","","Dyadobacter_E01",NA
"255","","Chryseobacterium_S02",NA
"256","","Pseudomonas_putida_KT2442",NA
"257","","Luteibacter_E22",NA
"258","","Variovorax_R27",NA
"259","","Burkholderia_R30",NA
"260","","Ensifer_E15",225
"261","","Methylobacterium_R20",NA
"262","","Sphingobium_R21",NA
"263","","Exiguobacterium_R17",NA
"264","","Bacillus_S18",NA
"265","","Paenibacillus_E12",NA
"266","","Cellulosimicrobium_E16",NA
"267","","Microbacterium_E13",NA
"268","","Streptomyces_R07",NA
"269","","Dyadobacter_E01",NA
"270","","Chryseobacterium_S02",NA
