"","Strain_ID","name","value","Lawn","Spot","MediaTime","Media","Fe","Time","Dataset"
"35","Variovax_RPC5","Ensifer_sp",0,"Variovax_RPC5","Ensifer_sp","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"36","Variovax_RPC5","Methylobacterium_RPE3",0,"Variovax_RPC5","Methylobacterium_RPE3","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"37","Variovax_RPC5","Sphingobium_Z2",0,"Variovax_RPC5","Sphingobium_Z2","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"38","Variovax_RPC5","Exiguobacterium_RDH25",0,"Variovax_RPC5","Exiguobacterium_RDH25","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"39","Variovax_RPC5","Bacillus_SCH24",-4,"Variovax_RPC5","Bacillus_SCH24","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"40","Variovax_RPC5","Paenibacillus_E12",-1,"Variovax_RPC5","Paenibacillus_E12","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"41","Variovax_RPC5","Cellulosimicrobium_BM1",0,"Variovax_RPC5","Cellulosimicrobium_BM1","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"42","Variovax_RPC5","Microbacterium_BM4",0,"Variovax_RPC5","Microbacterium_BM4","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"43","Variovax_RPC5","Streptomyces_RCH20P",0,"Variovax_RPC5","Streptomyces_RCH20P","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"44","Variovax_RPC5","Dyadobacter_BM9",0,"Variovax_RPC5","Dyadobacter_BM9","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"45","Variovax_RPC5","Chryseobacterium_SCH11",0,"Variovax_RPC5","Chryseobacterium_SCH11","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"46","Burkholderia_RCH25","Pseudomonas_putida_KT2442",0,"Burkholderia_RCH25","Pseudomonas_putida_KT2442","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"47","Burkholderia_RCH25","Luteibacter_BM7",0,"Burkholderia_RCH25","Luteibacter_BM7","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"48","Burkholderia_RCH25","Variovax_RPC5",0,"Burkholderia_RCH25","Variovax_RPC5","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"49","Burkholderia_RCH25","Burkholderia_RCH25",0,"Burkholderia_RCH25","Burkholderia_RCH25","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"50","Burkholderia_RCH25","Ensifer_sp",0,"Burkholderia_RCH25","Ensifer_sp","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"51","Burkholderia_RCH25","Methylobacterium_RPE3",0,"Burkholderia_RCH25","Methylobacterium_RPE3","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"52","Burkholderia_RCH25","Sphingobium_Z2",0,"Burkholderia_RCH25","Sphingobium_Z2","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"53","Burkholderia_RCH25","Exiguobacterium_RDH25",0,"Burkholderia_RCH25","Exiguobacterium_RDH25","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"54","Burkholderia_RCH25","Bacillus_SCH24",0,"Burkholderia_RCH25","Bacillus_SCH24","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"55","Burkholderia_RCH25","Paenibacillus_E12",-1,"Burkholderia_RCH25","Paenibacillus_E12","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"56","Burkholderia_RCH25","Cellulosimicrobium_BM1",0,"Burkholderia_RCH25","Cellulosimicrobium_BM1","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"57","Burkholderia_RCH25","Microbacterium_BM4",0,"Burkholderia_RCH25","Microbacterium_BM4","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"58","Burkholderia_RCH25","Streptomyces_RCH20P",0,"Burkholderia_RCH25","Streptomyces_RCH20P","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"59","Burkholderia_RCH25","Dyadobacter_BM9",0,"Burkholderia_RCH25","Dyadobacter_BM9","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"60","Burkholderia_RCH25","Chryseobacterium_SCH11",0,"Burkholderia_RCH25","Chryseobacterium_SCH11","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"61","Ensifer_sp","Pseudomonas_putida_KT2442",-2,"Ensifer_sp","Pseudomonas_putida_KT2442","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"62","Ensifer_sp","Luteibacter_BM7",1,"Ensifer_sp","Luteibacter_BM7","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"63","Ensifer_sp","Variovax_RPC5",2,"Ensifer_sp","Variovax_RPC5","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"64","Ensifer_sp","Burkholderia_RCH25",-4,"Ensifer_sp","Burkholderia_RCH25","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"65","Ensifer_sp","Ensifer_sp",0,"Ensifer_sp","Ensifer_sp","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"66","Ensifer_sp","Methylobacterium_RPE3",0,"Ensifer_sp","Methylobacterium_RPE3","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
