,Strain_ID,name,value,Lawn,Spot,MediaTime,Media,Fe,Time,Dataset
351,Bacillus_SCH24,Methylobacterium_RPE3,0,Bacillus_SCH24,Methylobacterium_RPE3,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
583,Bacillus_SCH24,Microbacterium_BM4,0,Bacillus_SCH24,Microbacterium_BM4,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
808,Bacillus_SCH24,Microbacterium_BM4,0,Bacillus_SCH24,Microbacterium_BM4,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
133,Bacillus_SCH24,Microbacterium_BM4,0,Bacillus_SCH24,Microbacterium_BM4,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
358,Bacillus_SCH24,Microbacterium_BM4,-2,Bacillus_SCH24,Microbacterium_BM4,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
580,Bacillus_SCH24,Paenibacillus_E12,1,Bacillus_SCH24,Paenibacillus_E12,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
805,Bacillus_SCH24,Paenibacillus_E12,1,Bacillus_SCH24,Paenibacillus_E12,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
130,Bacillus_SCH24,Paenibacillus_E12,2,Bacillus_SCH24,Paenibacillus_E12,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
355,Bacillus_SCH24,Paenibacillus_E12,1,Bacillus_SCH24,Paenibacillus_E12,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
571,Bacillus_SCH24,Pseudomonas_putida_KT2442,0,Bacillus_SCH24,Pseudomonas_putida_KT2442,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
796,Bacillus_SCH24,Pseudomonas_putida_KT2442,1,Bacillus_SCH24,Pseudomonas_putida_KT2442,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
123,Bacillus_SCH24,Pseudomonas_putida_KT2442,-2,Bacillus_SCH24,Pseudomonas_putida_KT2442,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
348,Bacillus_SCH24,Pseudomonas_putida_KT2442,-3,Bacillus_SCH24,Pseudomonas_putida_KT2442,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
581,Bacillus_SCH24,Sphingobium_Z2,1,Bacillus_SCH24,Sphingobium_Z2,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
806,Bacillus_SCH24,Sphingobium_Z2,2,Bacillus_SCH24,Sphingobium_Z2,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
131,Bacillus_SCH24,Sphingobium_Z2,0,Bacillus_SCH24,Sphingobium_Z2,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
356,Bacillus_SCH24,Sphingobium_Z2,1,Bacillus_SCH24,Sphingobium_Z2,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
573,Bacillus_SCH24,Streptomyces_RCH20P,-5,Bacillus_SCH24,Streptomyces_RCH20P,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
798,Bacillus_SCH24,Streptomyces_RCH20P,-7,Bacillus_SCH24,Streptomyces_RCH20P,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
127,Bacillus_SCH24,Streptomyces_RCH20P,-4,Bacillus_SCH24,Streptomyces_RCH20P,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
352,Bacillus_SCH24,Streptomyces_RCH20P,-4,Bacillus_SCH24,Streptomyces_RCH20P,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
574,Bacillus_SCH24,Variovax_RPC5,1,Bacillus_SCH24,Variovax_RPC5,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
799,Bacillus_SCH24,Variovax_RPC5,1,Bacillus_SCH24,Variovax_RPC5,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
125,Bacillus_SCH24,Variovax_RPC5,0,Bacillus_SCH24,Variovax_RPC5,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
350,Bacillus_SCH24,Variovax_RPC5,1,Bacillus_SCH24,Variovax_RPC5,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
474,Burkholderia_RCH25,Bacillus_SCH24,0,Burkholderia_RCH25,Bacillus_SCH24,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
699,Burkholderia_RCH25,Bacillus_SCH24,0,Burkholderia_RCH25,Bacillus_SCH24,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
54,Burkholderia_RCH25,Bacillus_SCH24,0,Burkholderia_RCH25,Bacillus_SCH24,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
279,Burkholderia_RCH25,Bacillus_SCH24,0,Burkholderia_RCH25,Bacillus_SCH24,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
467,Burkholderia_RCH25,Burkholderia_RCH25,-2,Burkholderia_RCH25,Burkholderia_RCH25,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
692,Burkholderia_RCH25,Burkholderia_RCH25,-1,Burkholderia_RCH25,Burkholderia_RCH25,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
49,Burkholderia_RCH25,Burkholderia_RCH25,-2,Burkholderia_RCH25,Burkholderia_RCH25,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
274,Burkholderia_RCH25,Burkholderia_RCH25,-2,Burkholderia_RCH25,Burkholderia_RCH25,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
477,Burkholderia_RCH25,Cellulosimicrobium_BM1,2,Burkholderia_RCH25,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
702,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,Burkholderia_RCH25,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
57,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,Burkholderia_RCH25,Cellulosimicrobium_BM1,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
282,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,Burkholderia_RCH25,Cellulosimicrobium_BM1,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
471,Burkholderia_RCH25,Chryseobacterium_SCH11,0,Burkholderia_RCH25,Chryseobacterium_SCH11,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
