Strain ID,KT2442,RDP22,RDP27,E5,RPE1_RP5,PAO1,Pf5,RPA1,BM7,BM12,BM25,R23,S20,BM17,E15,BM23,E4,Z2,RCH3,RP5C,BM21,RCH25,RDH20,RDH25,SCH24,SH11,RCH20P,BM16,R1,RDH1,BM13,BM1,SCH4,RDH6,RP5H,SCH11
E4,0,0,3,3,2,-1,-1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0
Z2,-3,0,-1,-7,-5,-4,-9,-2,0,0,-2,0,0,2,2,2,0,NA,NA,-1,-3,-3,0,0,0,NA,-1,0,NA,-1,2,0,0,-1,0,0
RCH3,-3,0,-1,-3,-3,-3,-8,-1,0,0,-2,0,0,0,0,0,0,-3,NA,0,-2,-3,2,2,0,-10,0,0,-2,0,0,0,0,-1,0,0
RP5C,-1,7,-1,-5,-7,-4,-4,0,0,0,0,0,3,-10,-2,0,0,0,-3,NA,-4,-4,1,1,-2,-8,-1,0,-2,-1,2,4,0,-2,0,0
BM21,-1,-1,-2,-1,-1,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-4,0,0,0,0,0,0,0,0,0,0,0,-2,0,0
RCH25,-1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,2,2,0,0,0,0,0,0,4,0,0,0,0,0
RDH20,-1,-3,-7,-10,0,-3,-3,0,0,1,1,0,0,0,0,0,0,0,0,0,-4,-4,NA,-1,-1,-2,0,0,0,0,-1,0,0,-1,0,-1
RDH25,-2,2,3,-1,0,-2,-2,0,0,1,3,1,1,0,0,0,0,1,1,-2,2,2,0,NA,-1,-2,0,0,3,0,0,0,0,0,0,-1
SCH24,-5,1,3,-5,0,-5,-4,0,-5,5,0,2,2,0,-2,0,2,1,2,-9,-7,-6,0,0,NA,-5,0,0,3,-2,0,0,0,2,0,-3
SH11,-1,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,0,0,0
