,Strain_ID,name,value,Lawn,Spot,MediaTime,Media,Time,TrialFinal
140,Cellulosimicrobium_BM1,Variovax_RPC5,0,Cellulosimicrobium_BM1,Variovax_RPC5,R2A-96h,R2A,96h,Trial
204,Chryseobacterium_SCH11,Bacillus_SCH24,-2,Chryseobacterium_SCH11,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
202,Chryseobacterium_SCH11,Burkholderia_RCH25,-2,Chryseobacterium_SCH11,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
205,Chryseobacterium_SCH11,Cellulosimicrobium_BM1,0,Chryseobacterium_SCH11,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
209,Chryseobacterium_SCH11,Chryseobacterium_SCH11,0,Chryseobacterium_SCH11,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
208,Chryseobacterium_SCH11,Dyadobacter_BM9,0,Chryseobacterium_SCH11,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
198,Chryseobacterium_SCH11,Ensifer_sp,0,Chryseobacterium_SCH11,Ensifer_sp,R2A-96h,R2A,96h,Trial
203,Chryseobacterium_SCH11,Exiguobacterium_RDH25,-2,Chryseobacterium_SCH11,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
207,Chryseobacterium_SCH11,Luteibacter_BM7,0,Chryseobacterium_SCH11,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
201,Chryseobacterium_SCH11,Massilia_sp,0,Chryseobacterium_SCH11,Massilia_sp,R2A-96h,R2A,96h,Trial
210,Chryseobacterium_SCH11,Methylobacterium_RPE3,0,Chryseobacterium_SCH11,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
206,Chryseobacterium_SCH11,Microbacterium_BM4,0,Chryseobacterium_SCH11,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
196,Chryseobacterium_SCH11,Pseudomonas_putida_KT2442,-2,Chryseobacterium_SCH11,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
199,Chryseobacterium_SCH11,Sphingobium_Z2,0,Chryseobacterium_SCH11,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
197,Chryseobacterium_SCH11,Streptomyces_RCH20P,0,Chryseobacterium_SCH11,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
200,Chryseobacterium_SCH11,Variovax_RPC5,0,Chryseobacterium_SCH11,Variovax_RPC5,R2A-96h,R2A,96h,Trial
189,Dyadobacter_BM9,Bacillus_SCH24,0,Dyadobacter_BM9,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
187,Dyadobacter_BM9,Burkholderia_RCH25,-4,Dyadobacter_BM9,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
190,Dyadobacter_BM9,Cellulosimicrobium_BM1,0,Dyadobacter_BM9,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
194,Dyadobacter_BM9,Chryseobacterium_SCH11,0,Dyadobacter_BM9,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
193,Dyadobacter_BM9,Dyadobacter_BM9,0,Dyadobacter_BM9,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
183,Dyadobacter_BM9,Ensifer_sp,0,Dyadobacter_BM9,Ensifer_sp,R2A-96h,R2A,96h,Trial
188,Dyadobacter_BM9,Exiguobacterium_RDH25,0,Dyadobacter_BM9,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
192,Dyadobacter_BM9,Luteibacter_BM7,0,Dyadobacter_BM9,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
186,Dyadobacter_BM9,Massilia_sp,0,Dyadobacter_BM9,Massilia_sp,R2A-96h,R2A,96h,Trial
195,Dyadobacter_BM9,Methylobacterium_RPE3,0,Dyadobacter_BM9,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
191,Dyadobacter_BM9,Microbacterium_BM4,0,Dyadobacter_BM9,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
181,Dyadobacter_BM9,Pseudomonas_putida_KT2442,0,Dyadobacter_BM9,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
184,Dyadobacter_BM9,Sphingobium_Z2,0,Dyadobacter_BM9,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
182,Dyadobacter_BM9,Streptomyces_RCH20P,-5,Dyadobacter_BM9,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
185,Dyadobacter_BM9,Variovax_RPC5,-5,Dyadobacter_BM9,Variovax_RPC5,R2A-96h,R2A,96h,Trial
39,Ensifer_sp,Bacillus_SCH24,-5,Ensifer_sp,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
37,Ensifer_sp,Burkholderia_RCH25,-4,Ensifer_sp,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
40,Ensifer_sp,Cellulosimicrobium_BM1,0,Ensifer_sp,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
44,Ensifer_sp,Chryseobacterium_SCH11,0,Ensifer_sp,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
43,Ensifer_sp,Dyadobacter_BM9,0,Ensifer_sp,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
33,Ensifer_sp,Ensifer_sp,0,Ensifer_sp,Ensifer_sp,R2A-96h,R2A,96h,Trial
38,Ensifer_sp,Exiguobacterium_RDH25,0,Ensifer_sp,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
42,Ensifer_sp,Luteibacter_BM7,0,Ensifer_sp,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
36,Ensifer_sp,Massilia_sp,0,Ensifer_sp,Massilia_sp,R2A-96h,R2A,96h,Trial
45,Ensifer_sp,Methylobacterium_RPE3,0,Ensifer_sp,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
41,Ensifer_sp,Microbacterium_BM4,0,Ensifer_sp,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
31,Ensifer_sp,Pseudomonas_putida_KT2442,-3,Ensifer_sp,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
34,Ensifer_sp,Sphingobium_Z2,0,Ensifer_sp,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
32,Ensifer_sp,Streptomyces_RCH20P,0,Ensifer_sp,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
35,Ensifer_sp,Variovax_RPC5,-5,Ensifer_sp,Variovax_RPC5,R2A-96h,R2A,96h,Trial
114,Exiguobacterium_RDH25,Bacillus_SCH24,-3,Exiguobacterium_RDH25,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
112,Exiguobacterium_RDH25,Burkholderia_RCH25,-1,Exiguobacterium_RDH25,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
115,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,0,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
119,Exiguobacterium_RDH25,Chryseobacterium_SCH11,0,Exiguobacterium_RDH25,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
118,Exiguobacterium_RDH25,Dyadobacter_BM9,0,Exiguobacterium_RDH25,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
108,Exiguobacterium_RDH25,Ensifer_sp,0,Exiguobacterium_RDH25,Ensifer_sp,R2A-96h,R2A,96h,Trial
113,Exiguobacterium_RDH25,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
117,Exiguobacterium_RDH25,Luteibacter_BM7,0,Exiguobacterium_RDH25,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
111,Exiguobacterium_RDH25,Massilia_sp,0,Exiguobacterium_RDH25,Massilia_sp,R2A-96h,R2A,96h,Trial
120,Exiguobacterium_RDH25,Methylobacterium_RPE3,0,Exiguobacterium_RDH25,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
116,Exiguobacterium_RDH25,Microbacterium_BM4,0,Exiguobacterium_RDH25,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
106,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,-2,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
109,Exiguobacterium_RDH25,Sphingobium_Z2,-1,Exiguobacterium_RDH25,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
107,Exiguobacterium_RDH25,Streptomyces_RCH20P,0,Exiguobacterium_RDH25,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
110,Exiguobacterium_RDH25,Variovax_RPC5,0,Exiguobacterium_RDH25,Variovax_RPC5,R2A-96h,R2A,96h,Trial
174,Luteibacter_BM7,Bacillus_SCH24,-4,Luteibacter_BM7,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
